CASOS,Tipo de homicidio,Antecedentes del acusado,Agravantes,Evidencias presentadas en el juicio,Relacion entre el acusado y la victima,Motivacion del crimen,Conducta del acusado durante el juicio,Edad del acusado,Causalidades externas,Evaluacion psicologica,Grado de violencia,Pena
C1,Calificado,Tiene antecedentes por delitos violentos,0,pruebas forenses,conocidos,0,colaboracion con la justicia,49,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,12
C2,Simple,Tiene antecedentes por delitos violentos,planificacion del crimen,pruebas forenses,0,venganza,0,53,consumo de alcohol,condiciones que afectan la capacidad de juicio,violencia extrema,27
C3,Calificado,ha cometido homicidios previos,0,pruebas forenses,familiares,violencia domestica,0,47,0,0,violencia extrema,32
C4,Calificado,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,conocidos,defensa propia,0,29,consumo de alcohol,0,0,19
C5,Calificado,ha cometido homicidios previos,uso de arma blanca,pruebas forenses,0,defensa propia,0,43,presion de grupos delectivos,0,violencia extrema,22
C6,Calificado,ausencia de antecedentes,uso de armas de fuego,testimonios de testigos,parejas,venganza,colaboracion con la justicia,19,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,35
C7,0,Tiene antecedentes por delitos violentos,planificacion del crimen,0,0,celos,colaboracion con la justicia,54,consumo de drogas,transtornos mentales,mutilacion,35
C8,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,testimonios de testigos,familiares,celos,muestra remordimiento,28,presion de grupos delectivos,0,violencia extrema,30
C9,Calificado,0,participacion de multiples acusados,testimonios de testigos,0,defensa propia,muestra remordimiento,52,consumo de drogas,0,violencia extrema,26
C10,0,ausencia de antecedentes,uso de arma blanca,0,conocidos,defensa propia,muestra remordimiento,44,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,13
C11,Simple,ha cometido homicidios previos,uso de armas de fuego,registros de comunicaciones,familiares,0,muestra remordimiento,43,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,33
C12,Simple,0,planificacion del crimen,pruebas forenses,conocidos,venganza,Muestra arrepentimiento genuino,45,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,27
C13,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,registros de comunicaciones,parejas,0,0,51,0,transtornos mentales,violencia extrema,40
C14,Simple,ha cometido homicidios previos,participacion de multiples acusados,registros de comunicaciones,familiares,celos,muestra remordimiento,50,0,transtornos mentales,mutilacion,32
C15,Calificado,Tiene antecedentes por delitos violentos,planificacion del crimen,0,conocidos,violencia domestica,Muestra arrepentimiento genuino,31,consumo de alcohol,0,tortura,23
C16,Simple,ausencia de antecedentes,0,testimonios de testigos,0,defensa propia,0,30,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,11
C17,0,ha cometido homicidios previos,0,0,familiares,defensa propia,ha realizado acciones de reparacion,50,consumo de drogas,0,tortura,25
C18,Calificado,ha cometido homicidios previos,0,0,0,violencia domestica,Muestra arrepentimiento genuino,55,consumo de drogas,condiciones que afectan la capacidad de juicio,mutilacion,28
C19,Simple,ha cometido homicidios previos,uso de arma blanca,evaluaciones psicológicas,familiares,celos,0,32,0,0,0,28
C20,Simple,0,0,registros de comunicaciones,conocidos,celos,Muestra arrepentimiento genuino,27,presion de grupos delectivos,0,violencia extrema,22
C21,0,ausencia de antecedentes,participacion de multiples acusados,registros de comunicaciones,parejas,venganza,colaboracion con la justicia,45,presion de grupos delectivos,0,mutilacion,37
C22,Calificado,ausencia de antecedentes,0,evaluaciones psicológicas,familiares,celos,Muestra arrepentimiento genuino,34,0,0,violencia extrema,26
C23,0,ausencia de antecedentes,participacion de multiples acusados,pruebas forenses,conocidos,defensa propia,muestra remordimiento,19,presion de grupos delectivos,transtornos mentales,0,17
C24,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,testimonios de testigos,0,venganza,0,38,presion de grupos delectivos,transtornos mentales,0,35
C25,Calificado,0,planificacion del crimen,registros de comunicaciones,conocidos,0,colaboracion con la justicia,52,0,condiciones que afectan la capacidad de juicio,tortura,36
